뇌젼일수,,,,,,,,,,,,,,
지점/지역명 : 서울,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
평균 뇌젼일수,,,,,,,,,,,,,,
연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
평년,0.1,0.3,0.5,1.1,1.6,2.7,4.9,4.9,1.9,1.6,1.4,0.5,21.5,
최근 10년,0,0.4,0.4,0.5,1.5,4.2,4.4,4.7,1.8,1,1.3,0.2,20.4,
최근  5년,0,0.2,0.6,0.6,1.6,4.4,4.4,5,2.4,1.2,1.8,0.2,22.4,
1908,0,0,0,0,0,0,0,0,0,0,0,0,0,70
1909,0,0,0,0,0,0,0,0,0,0,0,0,0,70
1910,0,0,0,0,0,0,0,0,0,0,0,0,0,70
1911,0,0,0,0,0,0,0,0,0,0,0,0,0,70
1912,0,0,0,0,0,0,0,0,0,0,0,0,0,70
1913,0,0,0,0,0,0,0,0,0,0,0,0,0,70
1914,0,0,0,0,0,0,0,0,0,0,0,0,0,70
1915,0,0,0,0,0,0,0,0,0,0,0,0,0,70
1916,0,0,0,0,0,0,0,0,0,0,0,0,0,70
1917,0,0,0,0,0,0,0,0,0,0,0,0,0,70
1918,0,0,0,0,0,0,0,0,0,0,0,0,0,70
1919,0,0,0,0,0,0,0,0,0,0,0,0,0,70
1920,0,0,0,0,0,0,0,0,0,0,0,0,0,70
1921,0,0,0,0,0,0,0,0,0,0,0,0,0,70
1922,0,0,0,0,0,0,0,0,0,0,0,0,0,70
1923,0,0,0,0,0,0,0,0,0,0,0,0,0,70
1924,0,0,0,0,0,0,0,0,0,0,0,0,0,70
1925,0,0,0,0,0,0,0,0,0,0,0,0,0,70
1926,0,0,0,0,0,0,0,0,0,0,0,0,0,70
1927,0,0,0,0,0,0,0,0,0,0,0,0,0,70
1928,0,0,0,0,0,0,0,0,0,0,0,0,0,70
1929,0,0,0,0,0,0,0,0,0,0,0,0,0,70
1930,0,0,0,0,0,0,0,0,0,0,0,0,0,70
1931,0,0,0,0,0,0,0,0,0,0,0,0,0,70
1932,0,0,0,0,0,0,0,0,0,0,0,0,0,70
1933,0,0,0,0,0,0,0,0,0,0,0,0,0,70
1934,0,0,0,0,0,0,0,0,0,0,0,0,0,70
1935,0,0,0,0,0,0,0,0,0,0,0,0,0,70
1936,1,0,0,0,0,0,0,0,0,0,0,0,1,67
1937,0,0,0,0,0,0,0,0,0,0,0,0,0,70
1938,0,0,0,0,0,0,0,0,0,0,0,0,0,70
1939,0,0,0,0,0,0,0,0,0,0,0,0,0,70
1940,0,0,0,0,0,0,0,0,0,0,0,0,0,70
1941,0,0,0,0,0,0,0,0,0,0,0,0,0,70
1942,0,0,0,0,0,0,0,0,0,0,0,0,0,70
1943,0,0,0,0,0,0,0,0,0,0,0,0,0,70
1944,0,0,0,0,0,0,2,0,0,0,0,0,2,66
1945,0,0,0,0,0,0,0,0,0,0,0,0,0,70
1946,0,0,0,0,0,0,0,0,0,0,0,0,0,70
1947,0,0,0,0,0,0,0,0,0,0,0,0,0,70
1948,0,0,0,0,0,2,0,2,0,0,0,0,4,65
1949,0,0,0,0,0,1,0,0,0,0,0,0,1,67
1950,0,0,0,0,0,0,0,0,0,0,0,0,0,70
1951,0,0,0,0,0,0,0,0,0,0,0,0,0,70
1952,0,0,0,0,0,0,0,0,0,0,0,0,0,70
1953,0,0,0,0,0,0,0,0,0,0,0,0,0,70
1954,0,0,0,0,0,0,0,1,0,0,0,0,1,67
